GeoKey;BillToAddressID;AddressLine1;AddressLine2;City;StateProvinceID;PostalCode;CountryRegionCode;State / Province;Country
GermanyHessenFrankfurt60323;12698;Räuscherweg 193;;Frankfurt;19;60323;DE;Hessen;Germany
United StatesOregonBeaverton97005;12699;3243 Buckingham Dr.;# 207;Beaverton;58;97005;US;Oregon;United States
CanadaBritish ColumbiaSookeV0;12700;7902 Crescent Avenue;;Sooke;7;V0;CA;British Columbia;Canada
United StatesCaliforniaImperial Beach91932;12701;4525 Benedict Ct.;;Imperial Beach;9;91932;US;California;United States
AustraliaQueenslandGold Coast4217;12702;853 Serpentine;;Gold Coast;64;4217;AU;Queensland;Australia
United KingdomEnglandLeedsLE18;12703;2094 Fruitwood;;Leeds;14;LE18;GB;England;United Kingdom
GermanyHamburgHamburg20354;12704;Curieweg 29;;Hamburg;20;20354;DE;Hamburg;Germany
United StatesWashingtonBurien98168;12705;8970 Birchwood;;Burien;79;98168;US;Washington;United States
CanadaBritish ColumbiaVancouverV7L 4J4;12706;6793 Longview Road;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
United KingdomEnglandRuncornTY31;12707;7744 Lacorso Drive;;Runcorn;14;TY31;GB;England;United Kingdom
United StatesWashingtonBremerton98312;12708;3981 Bell Drive;;Bremerton;79;98312;US;Washington;United States
United StatesWashingtonBurien98168;12709;6580 Poor Ridge Court;;Burien;79;98168;US;Washington;United States
United StatesWashingtonBremerton98312;12710;4657 Roundhouse Place;;Bremerton;79;98312;US;Washington;United States
United StatesOregonMilwaukie97222;12711;4698 G Street;;Milwaukie;58;97222;US;Oregon;United States
United StatesCaliforniaDaly City94015;12712;3029 Pastime Dr;# 2;Daly City;9;94015;US;California;United States
United KingdomEnglandRuncornTY31;12713;6133 Kenston Dr.;;Runcorn;14;TY31;GB;England;United Kingdom
United StatesCaliforniaLemon Grove91945;12714;5979 El Pueblo;;Lemon Grove;9;91945;US;California;United States
United StatesCaliforniaLong Beach90802;12715;7221 Peachwillow Street;;Long Beach;9;90802;US;California;United States
United StatesOregonLebanon97355;12716;426 San Rafael;;Lebanon;58;97355;US;Oregon;United States
United StatesCaliforniaCoronado92118;12717;7895 Arlington Way;;Coronado;9;92118;US;California;United States
United KingdomEnglandWarringtonWA1;12718;6126 Virgil Street;;Warrington;14;WA1;GB;England;United Kingdom
United StatesCaliforniaDowney90241;12719;5379 Treasure Island Way;Bldg 14;Downey;9;90241;US;California;United States
United StatesWashingtonBellingham98225;12721;7399 Pacific;;Bellingham;79;98225;US;Washington;United States
United StatesWashingtonEdmonds98020;12722;59 Clay Rd;;Edmonds;79;98020;US;Washington;United States
FranceNordDunkerque59140;12723;539, avenue du Québec;;Dunkerque;145;59140;FR;Nord;France
CanadaBritish ColumbiaMetchosinV9;12724;8680 Newell Ave.;;Metchosin;7;V9;CA;British Columbia;Canada
AustraliaNew South WalesMalabar2036;12725;1456 La Mar Ct.;;Malabar;50;2036;AU;New South Wales;Australia
United KingdomEnglandYorkY03 4TN;12726;9192 High Maple Court;;York;14;Y03 4TN;GB;England;United Kingdom
AustraliaNew South WalesNewcastle2300;12727;2544 Ashley Way;;Newcastle;50;2300;AU;New South Wales;Australia
United KingdomEnglandCheltenhamGL50;12728;3594 Vista Del Sol;;Cheltenham;14;GL50;GB;England;United Kingdom
United StatesWashingtonRedmond98052;12729;3127 Terrace;;Redmond;79;98052;US;Washington;United States
United StatesWashingtonSpokane99202;12730;8294 El Rancho Drive;;Spokane;79;99202;US;Washington;United States
United StatesCaliforniaChula Vista91910;12731;8071 Daylight Place;;Chula Vista;9;91910;US;California;United States
CanadaBritish ColumbiaVancouverV7L 4J4;12732;8080 Lancelot Dr.;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
United StatesCaliforniaSan Diego92102;12734;6158 May Way;;San Diego;9;92102;US;California;United States
GermanyHamburgHamburg20354;12735;Haberstr 8;;Hamburg;20;20354;DE;Hamburg;Germany
AustraliaNew South WalesNorth Ryde2113;12736;8162 Olympic Dr.;;North Ryde;50;2113;AU;New South Wales;Australia
CanadaBritish ColumbiaOak BayV8P;12737;7185 St George Dr;;Oak Bay;7;V8P;CA;British Columbia;Canada
United StatesWashingtonSedro Woolley98284;12738;136 Balboa Court;;Sedro Woolley;79;98284;US;Washington;United States
AustraliaVictoriaBendigo3550;12739;6137 Freya Way;;Bendigo;77;3550;AU;Victoria;Australia
AustraliaVictoriaSouth Melbourne3205;12740;4634 St. Paul Way;;South Melbourne;77;3205;AU;Victoria;Australia
United StatesWashingtonWalla Walla99362;12741;8721 Nahua;;Walla Walla;79;99362;US;Washington;United States
United StatesCaliforniaColma94014;12742;1926 Fish Dr.;;Colma;9;94014;US;California;United States
United StatesCaliforniaLos Angeles90012;12743;3421 Bouncing Road;;Los Angeles;9;90012;US;California;United States
United StatesWashingtonSeattle98104;12744;9535 Pear Dr.;;Seattle;79;98104;US;Washington;United States
United StatesWashingtonRenton98055;12745;1285 Greenbrier Street;;Renton;79;98055;US;Washington;United States
United StatesOregonSalem97301;12746;7653 Fall Creek Road;;Salem;58;97301;US;Oregon;United States
United StatesCaliforniaTorrance90505;12747;2313 Pastel Drive;;Torrance;9;90505;US;California;United States
FranceSeine (Paris)Paris75017;12748;76, rue de l´Esplanade;;Paris;161;75017;FR;Seine (Paris);France
United StatesWashingtonBellingham98225;12749;8934 Dublin;;Bellingham;79;98225;US;Washington;United States
United StatesCaliforniaConcord94519;12750;3848 East 39th Street;;Concord;9;94519;US;California;United States
GermanySaarlandBerlin14197;12751;Rykestr 8105;;Berlin;70;14197;DE;Saarland;Germany
United KingdomEnglandKirkbyKB9;12752;3381 Pastel Drive;;Kirkby;14;KB9;GB;England;United Kingdom
FranceHauts de SeineSèvres92310;12753;1, boulevard Beau Marchais;;Sèvres;178;92310;FR;Hauts de Seine;France
GermanyHamburgBonn53131;12754;Carlsplatz 89;;Bonn;20;53131;DE;Hamburg;Germany
United StatesOregonWoodburn97071;12755;1204 Weber Blvd.;;Woodburn;58;97071;US;Oregon;United States
United StatesCaliforniaEl Cajon92020;12756;991 Vista Verde;;El Cajon;9;92020;US;California;United States
AustraliaQueenslandTownsville4810;12757;4550 Glenellen Court;;Townsville;64;4810;AU;Queensland;Australia
United StatesWashingtonSeattle98104;12758;6412 Clifford Court;;Seattle;79;98104;US;Washington;United States
United StatesCaliforniaBurbank91502;12759;359 Pleasant Hill Rd;;Burbank;9;91502;US;California;United States
United StatesCaliforniaBerkeley94704;12760;9108 San Miguel Drive;;Berkeley;9;94704;US;California;United States
AustraliaVictoriaSouth Melbourne3205;12762;9233 Pepper Way;;South Melbourne;77;3205;AU;Victoria;Australia
United StatesCaliforniaWoodland Hills91364;12763;390 Ridgewood Ct.;;Woodland Hills;9;91364;US;California;United States
United KingdomEnglandBillericayCM11;12764;9183 Via Del Sol;;Billericay;14;CM11;GB;England;United Kingdom
United StatesCaliforniaDowney90241;12766;771 Northridge Drive;# 495;Downey;9;90241;US;California;United States
United StatesCaliforniaTorrance90505;12767;2266 Greenwood Circle;;Torrance;9;90505;US;California;United States
AustraliaNew South WalesNorth Ryde2113;12768;2374 Turning Way;;North Ryde;50;2113;AU;New South Wales;Australia
United StatesCaliforniaSan Carlos94070;12769;5724 Victory Lane;;San Carlos;9;94070;US;California;United States
United StatesCaliforniaSan Diego92102;12770;130 North Main St.;;San Diego;9;92102;US;California;United States
United StatesOregonLake Oswego97034;12771;6498 Mining Rd.;;Lake Oswego;58;97034;US;Oregon;United States
GermanyBrandenburgEilenburg04838;12772;Räuscherweg 3456;;Eilenburg;85;4838;DE;Brandenburg;Germany
United StatesOregonWoodburn97071;12773;8501 Boatwright Ln.;;Woodburn;58;97071;US;Oregon;United States
AustraliaNew South WalesRhodes2138;12774;6114 North Park Court;# 12;Rhodes;50;2138;AU;New South Wales;Australia
FranceYvelineChatou78400;12775;31, cours Mirabeau;;Chatou;164;78400;FR;Yveline;France
United StatesWashingtonSpokane99202;12776;2693 Dance Court;;Spokane;79;99202;US;Washington;United States
United StatesOhioBurbank44214;12777;371 Westwood Court;;Burbank;55;44214;US;Ohio;United States
AustraliaVictoriaGeelong3220;12778;6447 Ranch Road;;Geelong;77;3220;AU;Victoria;Australia
United KingdomEnglandGatesheadGA10;12779;7392 Coach Place;;Gateshead;14;GA10;GB;England;United Kingdom
GermanyHamburgHamburg20354;12781;Conesweg 89;;Hamburg;20;20354;DE;Hamburg;Germany
United StatesCaliforniaNewport Beach92625;12782;5256 Chickpea Ct.;;Newport Beach;9;92625;US;California;United States
United StatesCaliforniaWoodland Hills91364;12783;5297 Algiers Drive;;Woodland Hills;9;91364;US;California;United States
AustraliaQueenslandTownsville4810;12784;6284 Romero Circle;;Townsville;64;4810;AU;Queensland;Australia
United StatesCaliforniaCoronado92118;12785;6578 Woodhaven Ln.;;Coronado;9;92118;US;California;United States
United StatesCaliforniaRedwood City94063;12786;7820 Bird Drive;;Redwood City;9;94063;US;California;United States
United StatesOregonOregon City97045;12787;1025 Yosemite Dr.;;Oregon City;58;97045;US;Oregon;United States
FranceEssonneVerrieres Le Buisson91370;12788;37, route de Marseille;;Verrieres Le Buisson;177;91370;FR;Essonne;France
FranceGaronne (Haute)Colomiers31770;12789;82, rue Henri Gagnon;;Colomiers;117;31770;FR;Garonne (Haute);France
United StatesOregonOregon City97045;12790;2520 Almond Street;;Oregon City;58;97045;US;Oregon;United States
United StatesCaliforniaBellflower90706;12791;8634 Sunshine;;Bellflower;9;90706;US;California;United States
CanadaBritish ColumbiaN. VancouverV7L 4J4;12792;384 Price Lane;;N. Vancouver;7;V7L 4J4;CA;British Columbia;Canada
AustraliaNew South WalesPort Macquarie2444;12793;3717 Via Cordona;;Port Macquarie;50;2444;AU;New South Wales;Australia
AustraliaQueenslandHervey Bay4655;12794;8826 D Anchor;;Hervey Bay;64;4655;AU;Queensland;Australia
United StatesWashingtonLynnwood98036;12795;6752 Covington Court;;Lynnwood;79;98036;US;Washington;United States
United KingdomEnglandBirminghamB29 6SL;12796;8434 Kenmore;;Birmingham;14;B29 6SL;GB;England;United Kingdom
United StatesWashingtonSedro Woolley98284;12797;1411 Ranch Drive;;Sedro Woolley;79;98284;US;Washington;United States
CanadaBritish ColumbiaSookeV0;12798;8033 Chaucer Drive;;Sooke;7;V0;CA;British Columbia;Canada
United StatesCaliforniaChula Vista91910;12799;9808 Deerfield Dr.;;Chula Vista;9;91910;US;California;United States
United StatesCaliforniaBurbank91502;12800;7393 Jacaranda Dr.;;Burbank;9;91502;US;California;United States
United StatesOregonWoodburn97071;12801;2947 Vine Lane;;Woodburn;58;97071;US;Oregon;United States
United StatesCaliforniaSpring Valley91977;12802;2479 Killdeer Court;# 120;Spring Valley;9;91977;US;California;United States
United StatesCaliforniaGlendale91203;12803;7646 Strasbourg Lane;;Glendale;9;91203;US;California;United States
United StatesCaliforniaSan Francisco94109;12804;7433 San Simeon Ct.;;San Francisco;9;94109;US;California;United States
GermanyNordrhein-WestfalenWerne59368;12805;Hellweg 4244;;Werne;53;59368;DE;Nordrhein-Westfalen;Germany
United StatesCaliforniaColma94014;12806;3831 Golden Gate Way;# 203;Colma;9;94014;US;California;United States
United StatesOregonPortland97205;12807;9453 Sharon Dr.;;Portland;58;97205;US;Oregon;United States
CanadaBritish ColumbiaNewtonV2M1P1;12808;7784 Door Way;;Newton;7;V2M1P1;CA;British Columbia;Canada
United StatesCaliforniaBerkeley94704;12809;4844 Spring Water St;;Berkeley;9;94704;US;California;United States
United StatesCaliforniaLong Beach90802;12810;735 S. 39th Street;;Long Beach;9;90802;US;California;United States
United StatesWashingtonTacoma98403;12811;9320 Teakwood Dr.;;Tacoma;79;98403;US;Washington;United States
AustraliaQueenslandCaloundra4551;12812;2525 San Miguel Court;;Caloundra;64;4551;AU;Queensland;Australia
GermanyHamburgHamburg20354;12813;Auf der Krone 9249;;Hamburg;20;20354;DE;Hamburg;Germany
AustraliaVictoriaGeelong3220;12814;8982 Ricardo Drive;;Geelong;77;3220;AU;Victoria;Australia
United StatesCaliforniaImperial Beach91932;12815;135 Grant Street;;Imperial Beach;9;91932;US;California;United States
United StatesCaliforniaLakewood90712;12816;1884 Scramble Road;;Lakewood;9;90712;US;California;United States
CanadaBritish ColumbiaVictoriaV8V;12817;8252 Northridge Drive;;Victoria;7;V8V;CA;British Columbia;Canada
FranceSeine (Paris)Paris75009;12818;295, avenue de la Gare;;Paris;161;75009;FR;Seine (Paris);France
United StatesWashingtonBurien98168;12820;9533 Working Drive;;Burien;79;98168;US;Washington;United States
United StatesCaliforniaConcord94519;12821;6973 Elena;;Concord;9;94519;US;California;United States
FranceEssonneLes Ulis91940;12822;776, avenue du Président-Kennedy;;Les Ulis;177;91940;FR;Essonne;France
United KingdomEnglandCambridgeCB4 4BZ;12823;2624 Pome Court;;Cambridge;14;CB4 4BZ;GB;England;United Kingdom
United StatesCaliforniaNovato94947;12824;7103 Quiet Place Drive;;Novato;9;94947;US;California;United States
United KingdomEnglandLeedsLE18;12825;3980 Bridge;;Leeds;14;LE18;GB;England;United Kingdom
United StatesOregonMilwaukie97222;12826;1803 Olive Hill;;Milwaukie;58;97222;US;Oregon;United States
CanadaAlbertaCalgaryT2P 2G8;12827;6350 Plumas Court;;Calgary;1;T2P 2G8;CA;Alberta;Canada
United StatesCaliforniaLemon Grove91945;12828;1590 Mildred Ln.;#35;Lemon Grove;9;91945;US;California;United States
AustraliaNew South WalesGoulburn2580;12829;6306 Knollview Court;;Goulburn;50;2580;AU;New South Wales;Australia
United StatesCaliforniaImperial Beach91932;12830;9666 Northridge Ct.;;Imperial Beach;9;91932;US;California;United States
AustraliaNew South WalesSydney1002;12831;6387 Scenic Avenue;;Sydney;50;1002;AU;New South Wales;Australia
United StatesCaliforniaColma94014;12832;9707 Coldwater Drive;;Colma;9;94014;US;California;United States
AustraliaVictoriaCranbourne3977;12833;4217 Fairlane Place;;Cranbourne;77;3977;AU;Victoria;Australia
United StatesWashingtonPort Orchard98366;12834;8038 La Paz;;Port Orchard;79;98366;US;Washington;United States
United StatesCaliforniaDowney90241;12835;989 Crown Ct;;Downey;9;90241;US;California;United States
FranceNordRoubaix59100;12836;54, rue Philibert-Delorme;;Roubaix;145;59100;FR;Nord;France
AustraliaNew South WalesMilsons Point2061;12838;639 Treasure Drive;;Milsons Point;50;2061;AU;New South Wales;Australia
United StatesCaliforniaLincoln Acres91950;12839;5435 Jacobsen Street;;Lincoln Acres;9;91950;US;California;United States
United StatesCaliforniaLincoln Acres91950;12840;6930 Lake Place;;Lincoln Acres;9;91950;US;California;United States
GermanyHessenBerlin14129;12841;Marketplatz 5793;Buchhaltung;Berlin;19;14129;DE;Hessen;Germany
AustraliaNew South WalesMatraville2036;12842;5473 Olive Hill;;Matraville;50;2036;AU;New South Wales;Australia
United StatesOregonBeaverton97005;12843;389 Alamo Way;;Beaverton;58;97005;US;Oregon;United States
AustraliaVictoriaBendigo3550;12844;4794 Kim Court;;Bendigo;77;3550;AU;Victoria;Australia
United StatesWashingtonWalla Walla99362;12846;1162 Park Glenn;;Walla Walla;79;99362;US;Washington;United States
FranceHauts de SeineParis La Defense92081;12847;774, rue Descartes;;Paris La Defense;178;92081;FR;Hauts de Seine;France
CanadaBritish ColumbiaHaneyV2W 1W2;12848;3166 Rosemarie Place;;Haney;7;V2W 1W2;CA;British Columbia;Canada
CanadaBritish ColumbiaVancouverV7L 4J4;12849;2444 North Ranchford;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
United KingdomEnglandLondonSE1 8HL;12850;1547 Larkwood Ct.;;London;14;SE1 8HL;GB;England;United Kingdom
AustraliaNew South WalesNorth Ryde2113;12851;1197 Santa Barbara;;North Ryde;50;2113;AU;New South Wales;Australia
CanadaBritish ColumbiaLangleyV3A 4R2;12852;1578 Grand Drive;;Langley;7;V3A 4R2;CA;British Columbia;Canada
United KingdomEnglandYorkYO15;12853;6745 Salem St;;York;14;YO15;GB;England;United Kingdom
United StatesWashingtonSedro Woolley98284;12854;6532 Pinecrest Rd;#508;Sedro Woolley;79;98284;US;Washington;United States
AustraliaNew South WalesRhodes2138;12855;8049 Jefferson Street;;Rhodes;50;2138;AU;New South Wales;Australia
United StatesWashingtonMarysville98270;12856;4609 Rosebrook Ct.;;Marysville;79;98270;US;Washington;United States
United KingdomEnglandLondonW1V 5RN;12857;2669 Clark Creek Rd.;;London;14;W1V 5RN;GB;England;United Kingdom
AustraliaNew South WalesNorth Ryde2113;12859;4325 Polson Court;;North Ryde;50;2113;AU;New South Wales;Australia
United KingdomEnglandLondonSW8 1XD;12860;8778 So. Silver Spring;;London;14;SW8 1XD;GB;England;United Kingdom
United StatesCaliforniaOakland94611;12861;5637 Arbor Drive;;Oakland;9;94611;US;California;United States
AustraliaNew South WalesMilsons Point2061;12862;9182 Newcastle Road;;Milsons Point;50;2061;AU;New South Wales;Australia
AustraliaNew South WalesDarlinghurst2010;12863;6665 Homestead Ave.;;Darlinghurst;50;2010;AU;New South Wales;Australia
FranceSeine (Paris)Paris75010;12864;444, chaussée de Tournai;;Paris;161;75010;FR;Seine (Paris);France
United StatesCaliforniaColma94014;12865;5931 San Carlos;;Colma;9;94014;US;California;United States
CanadaBritish ColumbiaCliffsideV8Y 1L1;12866;9699 Gilardy Drive;;Cliffside;7;V8Y 1L1;CA;British Columbia;Canada
United StatesCaliforniaSanta Cruz95062;12867;7172 Parkway Drive;;Santa Cruz;9;95062;US;California;United States
AustraliaVictoriaWarrnambool3280;12868;1226 Canyon Creek Drive;;Warrnambool;77;3280;AU;Victoria;Australia
CanadaBritish ColumbiaWestminsterV3L 1E7;12869;1873 Mt. Whitney Dr;;Westminster;7;V3L 1E7;CA;British Columbia;Canada
FranceSeine et MarneRoissy en Brie77680;12870;297, place Beaubernard;;Roissy en Brie;163;77680;FR;Seine et Marne;France
FranceSeine (Paris)Paris75003;12872;74, place Beaubernard;;Paris;161;75003;FR;Seine (Paris);France
CanadaBritish ColumbiaCliffsideV8Y 1L1;12873;1800 Honey Court;;Cliffside;7;V8Y 1L1;CA;British Columbia;Canada
United KingdomEnglandWokinghamRG41 1QW;12874;9443 Oaxaca;;Wokingham;14;RG41 1QW;GB;England;United Kingdom
United StatesCaliforniaLemon Grove91945;12875;9736 Montana;;Lemon Grove;9;91945;US;California;United States
CanadaBritish ColumbiaPort HammondV6B 3P7;12876;6104 Santa Maria Ct.;;Port Hammond;7;V6B 3P7;CA;British Columbia;Canada
AustraliaNew South WalesDarlinghurst2010;12877;7106 Cynthia Drive;;Darlinghurst;50;2010;AU;New South Wales;Australia
CanadaBritish ColumbiaCliffsideV8Y 1L1;12878;764 Teak Court;;Cliffside;7;V8Y 1L1;CA;British Columbia;Canada
United KingdomEnglandWest SussexRH15 9UD;12879;8510 G St.;;West Sussex;14;RH15 9UD;GB;England;United Kingdom
United StatesCaliforniaEl Cajon92020;12880;7386 Rolph Park Drive;;El Cajon;9;92020;US;California;United States
United KingdomEnglandW. YorkBD1 4SJ;12881;2893 Vera;;W. York;14;BD1 4SJ;GB;England;United Kingdom
United StatesWashingtonBremerton98312;12883;1832 RiverRock Dr;;Bremerton;79;98312;US;Washington;United States
AustraliaNew South WalesWollongong2500;12884;6850 Monument Blvd.;;Wollongong;50;2500;AU;New South Wales;Australia
AustraliaQueenslandHawthorne4171;12885;5565 Logan Court;;Hawthorne;64;4171;AU;Queensland;Australia
United StatesCaliforniaSan Diego92102;12886;6999 Icicle Ct.;;San Diego;9;92102;US;California;United States
AustraliaQueenslandHervey Bay4655;12887;8168 Eaker Way;;Hervey Bay;64;4655;AU;Queensland;Australia
GermanyNordrhein-WestfalenPaderborn33098;12888;Hans-Rosenthal-Platz 2;;Paderborn;53;33098;DE;Nordrhein-Westfalen;Germany
United KingdomEnglandCheltenhamGL50;12889;5985 Valmar Dr.;;Cheltenham;14;GL50;GB;England;United Kingdom
United StatesCaliforniaConcord94519;12890;7559 Worth Ct.;;Concord;9;94519;US;California;United States
AustraliaNew South WalesSydney1002;12891;5891 Quail Court;Unit C;Sydney;50;1002;AU;New South Wales;Australia
GermanyHessenDuesseldorf40605;12892;Kulmer Straße 6;;Duesseldorf;19;40605;DE;Hessen;Germany
AustraliaQueenslandRockhampton4700;12893;7426 Forest Way;;Rockhampton;64;4700;AU;Queensland;Australia
AustraliaSouth AustraliaCloverdale6105;12894;6675 Andrea Lane;;Cloverdale;66;6105;AU;South Australia;Australia
United StatesCaliforniaConcord94519;12895;4861 Via Valencia;;Concord;9;94519;US;California;United States
United StatesOregonSalem97301;12896;3287 Corte Poquito;# 2;Salem;58;97301;US;Oregon;United States
AustraliaVictoriaCranbourne3977;12897;8523 Rose Drive;C;Cranbourne;77;3977;AU;Victoria;Australia
United StatesOregonSalem97301;12898;4782 Dewing Avenue;;Salem;58;97301;US;Oregon;United States
United StatesCaliforniaLincoln Acres91950;12899;8240 Clear Court;;Lincoln Acres;9;91950;US;California;United States
United KingdomEnglandYorkY024 1GF;12900;4524 P St.;;York;14;Y024 1GF;GB;England;United Kingdom
AustraliaVictoriaCranbourne3977;12901;2756 Eastgate Ave.;;Cranbourne;77;3977;AU;Victoria;Australia
United StatesWashingtonSedro Woolley98284;12902;3893 San Francisco;;Sedro Woolley;79;98284;US;Washington;United States
AustraliaNew South WalesWollongong2500;12903;1461 Dent Way;;Wollongong;50;2500;AU;New South Wales;Australia
FranceYvelineChatou78400;12904;63, allée des Princes;;Chatou;164;78400;FR;Yveline;France
United StatesWashingtonPort Orchard98366;12905;2265 Park Glen Court;;Port Orchard;79;98366;US;Washington;United States
CanadaBritish ColumbiaPort HammondV6B 3P7;12906;8886 Marsh Drive;;Port Hammond;7;V6B 3P7;CA;British Columbia;Canada
United StatesOregonW. Linn97068;12907;6456 Eagle Way;;W. Linn;58;97068;US;Oregon;United States
AustraliaVictoriaWarrnambool3280;12909;942 Brook Street;;Warrnambool;77;3280;AU;Victoria;Australia
United StatesWashingtonYakima98901;12910;1156 Corte Poquito;;Yakima;79;98901;US;Washington;United States
United StatesCaliforniaBerkeley94704;12911;942 Brook Street;;Berkeley;9;94704;US;California;United States
FranceSeine (Paris)Paris75005;12913;8810, rue des Rosiers;;Paris;161;75005;FR;Seine (Paris);France
United StatesCaliforniaMill Valley94941;12914;9019 Class Avenue;;Mill Valley;9;94941;US;California;United States
GermanyNordrhein-WestfalenPaderborn33098;12915;Königstr 27;;Paderborn;53;33098;DE;Nordrhein-Westfalen;Germany
FranceHauts de SeineSèvres92310;12916;"313, rue de l'Espace De Schengen";;Sèvres;178;92310;FR;Hauts de Seine;France
CanadaBritish ColumbiaSookeV0;12917;7391 Leslie Avenue;;Sooke;7;V0;CA;British Columbia;Canada
United StatesWashingtonMarysville98270;12918;342 San Simeon;;Marysville;79;98270;US;Washington;United States
AustraliaVictoriaMelbourne3000;12919;1583 Blackridge Drive;;Melbourne;77;3000;AU;Victoria;Australia
United StatesCaliforniaFremont94536;12920;4787 R St.;;Fremont;9;94536;US;California;United States
United StatesCaliforniaBurlingame94010;12921;3917 Fern Leaf Lane;;Burlingame;9;94010;US;California;United States
United StatesWashingtonBellingham98225;12922;6283 San Marino Ct.;;Bellingham;79;98225;US;Washington;United States
United StatesOregonLake Oswego97034;12923;9741 Forte Way;;Lake Oswego;58;97034;US;Oregon;United States
AustraliaNew South WalesWollongong2500;12924;4147 Alamo Court;;Wollongong;50;2500;AU;New South Wales;Australia
AustraliaVictoriaWarrnambool3280;12925;5951 Balance Ct.;;Warrnambool;77;3280;AU;Victoria;Australia
United StatesWashingtonOlympia98501;12926;515 Wiget Lane;;Olympia;79;98501;US;Washington;United States
United KingdomEnglandWarringtonWA1;12927;5174 Filling Drive;;Warrington;14;WA1;GB;England;United Kingdom
United KingdomEnglandYorkYO15;12928;1797 Victory Lane;;York;14;YO15;GB;England;United Kingdom
AustraliaQueenslandHawthorne4171;12929;8939 Monetary Way;;Hawthorne;64;4171;AU;Queensland;Australia
United StatesOregonPortland97205;12931;1410 N Ranchford Court;;Portland;58;97205;US;Oregon;United States
United StatesOregonBeaverton97005;12932;4144 Tahoe Place;;Beaverton;58;97005;US;Oregon;United States
United StatesCaliforniaSanta Monica90401;12933;1197 Santa Barbara;;Santa Monica;9;90401;US;California;United States
FranceSeine Saint DenisPantin93500;12934;"523, rue de l'Espace De Schengen";;Pantin;179;93500;FR;Seine Saint Denis;France
United StatesOregonWoodburn97071;12935;9314 Icicle Way;;Woodburn;58;97071;US;Oregon;United States
AustraliaNew South WalesLavender Bay2060;12936;7068 Rock Drive;;Lavender Bay;50;2060;AU;New South Wales;Australia
United StatesCaliforniaLong Beach90802;12937;302 Camelback Ct.;;Long Beach;9;90802;US;California;United States
United StatesCaliforniaBurlingame94010;12938;7710 Pine St;;Burlingame;9;94010;US;California;United States
AustraliaQueenslandBrisbane4000;12939;7107 Vista Valley Rd.;;Brisbane;64;4000;AU;Queensland;Australia
FranceNordRoubaix59100;12940;821, rue des Rosiers;;Roubaix;145;59100;FR;Nord;France
United KingdomEnglandNewcastle upon TyneNT20;12941;3968 Beauty;;Newcastle upon Tyne;14;NT20;GB;England;United Kingdom
United StatesWashingtonBremerton98312;12942;1362 Somerset Place;;Bremerton;79;98312;US;Washington;United States
United StatesCaliforniaOakland94611;12943;7772 Golden Meadow;;Oakland;9;94611;US;California;United States
United StatesWashingtonYakima98901;12944;977 Delta View Ln.;;Yakima;79;98901;US;Washington;United States
United StatesCaliforniaWest Covina91791;12945;2472 Alexander Place;;West Covina;9;91791;US;California;United States
AustraliaNew South WalesPort Macquarie2444;12946;8500 Byers Rd.;;Port Macquarie;50;2444;AU;New South Wales;Australia
United StatesCaliforniaBeverly Hills90210;12947;8625 Woodcrest Drive;;Beverly Hills;9;90210;US;California;United States
AustraliaNew South WalesSpringwood2777;12948;623 Lakespring Place;;Springwood;50;2777;AU;New South Wales;Australia
United StatesWashingtonLynnwood98036;12949;8585 Los Gatos Ct.;;Lynnwood;79;98036;US;Washington;United States
United StatesCaliforniaNational City91950;12950;336 E Eagle Peak Rd.;;National City;9;91950;US;California;United States
United StatesOregonBeaverton97005;12951;6703 Corte Poquito;;Beaverton;58;97005;US;Oregon;United States
United StatesCaliforniaBerkeley94704;12952;9854 Martindale Drive;;Berkeley;9;94704;US;California;United States
CanadaBritish ColumbiaRoyal OakV8X;12953;1363 Mount Circle;;Royal Oak;7;V8X;CA;British Columbia;Canada
FranceLoir et CherSaint Ouen41100;12954;65bis, boulevard Saint Germain;;Saint Ouen;127;41100;FR;Loir et Cher;France
United StatesCaliforniaChula Vista91910;12955;7985 Center Street;;Chula Vista;9;91910;US;California;United States
AustraliaNew South WalesNewcastle2300;12956;3748 Bellwood Dr.;;Newcastle;50;2300;AU;New South Wales;Australia
United StatesWashingtonYakima98901;12957;2899 Cimarron Drive;;Yakima;79;98901;US;Washington;United States
United KingdomEnglandLondonW1X3SE;12958;5979 Lynwood Drive;;London;14;W1X3SE;GB;England;United Kingdom
United StatesWashingtonRenton98055;12959;2431 Keith Court;;Renton;79;98055;US;Washington;United States
"FranceNordVilleneuve-d'Ascq59491";12960;84, rue de la Centenaire;;"Villeneuve-d'Ascq";145;59491;FR;Nord;France
GermanySaarlandSaarlouis66740;12961;Zollstr 62;;Saarlouis;70;66740;DE;Saarland;Germany
United StatesOregonPortland97205;12962;41 Third Ave East;;Portland;58;97205;US;Oregon;United States
FranceVal de MarneOrly94310;12963;46, rue Surcouf;;Orly;180;94310;FR;Val de Marne;France
AustraliaVictoriaMelbourne3000;12964;9704 Pineknoll;;Melbourne;77;3000;AU;Victoria;Australia
GermanyBayernHof95010;12965;Am Gallberg 94;;Hof;8;95010;DE;Bayern;Germany
